Model;Duration_s;Inference_Time_s;RTF;WER;Ref;Pred
openai/whisper-tiny;8.58;0.575;0.067;0.2857;timtim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan;tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional tetapi ada sedikit perbedaan
openai/whisper-tiny;7.68;0.2916;0.038;0.6667;segera setelah permusuhan pecah britania memulai blokade laut jerman;segera setelah permusuhan pecah pita nih yang memulai blokad ilau cerman
openai/whisper-tiny;9.48;0.3629;0.0383;0.3529;semua nomina di samping kata sie untuk anda selalu dimulai dengan huruf kapital bahkan di tengah kalimat;semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat
openai/whisper-tiny;9.48;0.2654;0.028;0.1667;ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu;ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu
openai/whisper-tiny;12.3;0.4461;0.0363;0.5;di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun;diisisi lain kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun
openai/whisper-tiny;7.32;0.3512;0.048;0.6923;kambing tampaknya mulai dijinakkan sekitar 10000 tahun lalu di pegunungan zagros di iran;kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di iran
openai/whisper-tiny;5.22;0.1785;0.0342;0.2222;di kepulauan dan danau anda tidak perlu kapal pesiar;di kebuluhan dan danau anda tidak perlu kapal kesiara
openai/whisper-tiny;20.1;0.6816;0.0339;0.4074;pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang;tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah antara lain sepanol ingriis pransis arah dan cepan
openai/whisper-tiny;13.92;0.4173;0.03;0.4706;ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan sanparks;ini adalah salah satu atrak di utama afrika selatan dan diangkapsip ke anggalan taman najuna afrika selatan dengan gurusandpap
openai/whisper-tiny;7.98;0.3615;0.0453;0.625;mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti trex;mereka mau lakilaki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir
