Model,Duration_s,Inference_Time_s,RTF,WER,Ref,Pred
openai/whisper-tiny,8.58,0.9886,0.1152,0.2857,timtim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan,tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional tetapi ada sedikit perbedaan
openai/whisper-tiny,7.68,0.3169,0.0413,0.6667,segera setelah permusuhan pecah britania memulai blokade laut jerman,segera setelah permusuhan pecah pita nih yang memulai blokad ilau cerman
openai/whisper-tiny,9.48,0.328,0.0346,0.3529,semua nomina di samping kata sie untuk anda selalu dimulai dengan huruf kapital bahkan di tengah kalimat,semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat
openai/whisper-tiny,9.48,0.2689,0.0284,0.1667,ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu,ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu
openai/whisper-tiny,12.3,0.5416,0.044,0.5,di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun,diisisi lain kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun
openai/whisper-tiny,7.32,0.4107,0.0561,0.6923,kambing tampaknya mulai dijinakkan sekitar 10000 tahun lalu di pegunungan zagros di iran,kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di iran
openai/whisper-tiny,5.22,0.2056,0.0394,0.2222,di kepulauan dan danau anda tidak perlu kapal pesiar,di kebuluhan dan danau anda tidak perlu kapal kesiara
openai/whisper-tiny,20.1,0.7324,0.0364,0.4074,pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang,tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah antara lain sepanol ingriis pransis arah dan cepan
openai/whisper-tiny,13.92,0.4243,0.0305,0.4706,ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan sanparks,ini adalah salah satu atrak di utama afrika selatan dan diangkapsip ke anggalan taman najuna afrika selatan dengan gurusandpap
openai/whisper-tiny,7.98,0.3476,0.0436,0.625,mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti trex,mereka mau lakilaki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir
openai/whisper-tiny,15.96,0.6802,0.0426,0.4138,dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dan 100 kanada yang baru,dia juga terlibat dalam pengokiran uang kertas untuk banyak negara sontok hari yang yang terbaru termasuk potret perdanaman 3 dibagian depan uang kertas lima dolar dan seratu stolar kanada yang baru
openai/whisper-tiny,15.78,0.7097,0.045,0.5484,orangorang telah mengenal unsurunsur kimia dasar seperti emas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alatalat primitif,orangurang telah mengenal un surun seru kimiya dan sar seperti mas perak dan tembaga jadi zaman kunuh karena semua ini dapat ditemukan di alam dalam menukasliya dengan ralatek muda ditambang dengan halat alat primitif
openai/whisper-tiny,14.04,0.6105,0.0435,0.3333,dibangun oleh orangorang mesir pada abad ketiga sm piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati firaun yang telah meninggal dunia,di bangun oleh orangorang masyir pada abad ketiga sebelum masyih diramida agung rupekan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormatifierahun yang telah meninggal dunia
openai/whisper-tiny,12.78,0.564,0.0441,0.4167,sultan maroko membangun kembali kota tersebut menjadi daru ibadya kota tersebut kemudian dinamai casablanca oleh para pedagang spanyol yang mendirikan basis perdagangan di sana,sultan maroukou memahun kembali kota tersebut menjadi deru ibadia kota tersebut kemudian di namaikasa belangka oleh para pedagong spanyol yang mendirikan bahasis pedagongan di sana
openai/whisper-tiny,14.1,0.5686,0.0403,0.4211,wisatawan yang bepergian ke negaranegara berpajak yang tinggi kadangkadang bisa menghemat uang untuk produkproduk seperti minuman beralkohol dan tembakau,wisatawan yang berperkian kena karankara perpaca yang tinggi kadangkadang bisa menghemat wang untuk produkproduks seperti minuman per alkohol dan tembakau
openai/whisper-tiny,22.56,0.7909,0.0351,0.5,walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk tetap bergaul di paris adalah dengan berperilaku terbaik bertindak seperti seseorang yang bien ã©levã© dibesarkan dengan baik hal tersebut membuat perjalanan berkeliling anda jauh lebih mudah,walaupun serengkali ini hanya teryo tip yang tidak akurat cara terbaik untuk letapberkali tipades adalah dengan berperlaku terbaik pertindasipatis orang yang bian akuleopart tipesarkan dengan baik hal tersebut membuat percalaan perkali yang anda cau lebih mudah
openai/whisper-tiny,10.5,0.2804,0.0267,0.3846,casablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko,kasa planka adalah salah satu tempat paling tidak menarik untuk berplanjati seluruh maruku
openai/whisper-tiny,6.78,0.3094,0.0456,0.4167,orangorang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan,orang orang sekarang menunis pesan tilayar komputer tidak pernah harus menggunakan rautan
openai/whisper-tiny,7.32,0.2674,0.0365,0.2727,namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus,namun ada banyak hal tentang furung yang masih terlihat seperti tino saurus
openai/whisper-tiny,20.34,0.5611,0.0276,0.4167,institut keadilan dan demokrasi haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti,institu keatilan dan demokrasi haiti telah mereferensikan pendalitian indi penden yang mengmukakan fatal yang penjaga pertama ppp nepal secara tanpa sadar membawa penyakit itu ke haiti
openai/whisper-tiny,13.44,0.3621,0.0269,0.1053,hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut,hal ini memberikan kesempatan yang baik untuk melihat aurora puri alis karena langit akan lebih gelap pada sekitar waktu tersebut
openai/whisper-tiny,13.38,0.5057,0.0378,0.3667,ini adalah tempat yang direbut oleh penjajah inggris sebagai milik mereka dan apabila anda sedang mencari bukti wilayah kolonial di masa lalu di sini adalah tempat yang tepat untuk memulai,ini adalah tempat yang terput oleh penjajang pada sepakai mini mereka dan apabila anda sedang menjadi publih gelaya kolonial dimasalalu di sini adalah tempat yang tepat untuk memulai
openai/whisper-tiny,8.22,0.3158,0.0384,0.4118,beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan,berperapa atau memiliki yang tidak stabil yang berarti atum cenderung kecak dengan sticket atau tanpa santohan
openai/whisper-tiny,9.96,0.3434,0.0345,0.375,ion hidrogen adalah proton yang elektronnya dilucuti sebab atom hidrogen memiliki satu proton dan satu elektron,ion hidroken adalah proton yang elektronia di lujuti sebab atom hidroken memuliki satu proton dan satu elektron
openai/whisper-tiny,11.76,0.3805,0.0324,1.1667,segregasi dan rekombinasi mengocok variasi bolakbalik antara dua kolam dengan masingmasing generasi,saya kreatasi tanrnya kombinasi menunur otos varian pelas palik antara dua kelolang dengan masi masi yang kenurasi
openai/whisper-tiny,13.14,0.4406,0.0335,0.2778,peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama sebagai masyarakat,pergadaban adalah sebuah kebudayaan tunggal yang dicilankan bersama oleh sekolah peorang yang hidup dan bukannya bersama sebagai masyarakat
openai/whisper-tiny,6.18,0.3116,0.0504,0.75,serupa halnya dengan itu pria diharuskan memakai celana panjang yang menutup lutut,serupa hanya teman itu periatih haruskan memakai cara nampak cali yang menotuh pelutuh
