Voice;Ref;Pred_Raw;Pred_LLM;WER_Raw;WER_LLM;Time_ASR;Time_LLM;Time_Total
sample_000.wav;Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional, tetapi ada sedikit perbedaan.; Tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional, tetapi ada sedikit perbedaan.;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim tim virtual memiliki standar keunggulan
Output: Tim Tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain, keadaan tetap.
  Tim Tim virtual memiliki standar keunggulan yang sama dengan Tim konfensional, tetapi ada sedikit perbedaan.";0,28571429;6,78571429;0,52493072;17,05762982;17,58256054
sample_001.wav;Segera setelah permusuhan pecah, Britania memulai blokade laut Jerman.; Segera setelah permusuhan pecah, pita nih yang memulai blokad ilau cerman.;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim-tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain, keadaan tetap.
  Segera setelah permusuhan pecah, pita nih yang memulai blokad ilau cerman.";0,66666667;10,66666667;0,68681431;16,98317790;17,66999221
sample_002.wav;Semua nomina, di samping kata Sie untuk Anda, selalu dimulai dengan huruf kapital, bahkan di tengah kalimat.; semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim-tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain keadaan tetap.
  semua nominah di sampen rata sih untuk anda selalu dimulai dengan huruf besar bahkan di tengah kalimat.";0,47058824;5,64705882;0,83313155;15,78592205;16,61905360
sample_003.wav;Ini sepertinya masuk akal, karena Bumi tidak terasa seperti bergerak, bukan begitu?; ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim-tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain keadaan tetap.
  ini sepertinya masuk akal karena kami tidak terasa seperti itu bukan begitu";0,33333333;7,83333333;0,50124764;15,98535609;16,48660374
sample_004.wav;Di sisi lain, kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun.; diisisi lain, kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun.;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim-tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain keadaan tetap.
  diisisi lain, kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun.";0,50000000;4,27272727;0,63280916;18,59691548;19,22972465
sample_005.wav;Kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di pegunungan Zagros di Iran.; Kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di Iran.;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim-tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain keadaan tetap.
  Kambatan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di Iran.";0,69230769;7,61538462;0,86901951;17,17155623;18,04057574
sample_006.wav;Di kepulauan dan danau, Anda tidak perlu kapal pesiar.; di kebuluhan dan danau anda tidak perlu kapal kesiara;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim-tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain keadaan tetap.
  di kebuluhan dan danau Anda tidak perlu kapal kesiara";0,33333333;10,33333333;0,39785743;15,95430660;16,35216403
sample_007.wav;Pemberitahuan reguler di Metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.; Tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah, antara lain sepanol, ingriis, pransis, arah dan cepan.;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan mengubah kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim Tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain, keadaan tetap.
  Tom beritahuan reguler di metro hanya menggunakan fahasah katalan, tetapi gangguan tak terencana diumukan mewak sistem otomatis dalam berbagai pahasah, antara lain sepanol, ingriis, pransis, arah, dan cepan.";0,44444444;3,70370370;1,61305451;17,81686664;19,42992115
sample_008.wav;Ini adalah salah satu atraksi utama Afrika Selatan dan dianggap sebagai andalan Taman Nasional Afrika Selatan (SANParks).; Ini adalah salah satu atrak di utama Afrika Selatan dan diangkapsip ke Anggalan Taman najuna Afrika Selatan, dengan guru-sandpap.;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim-tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain, keadaan tetap.
  Ini adalah salah satu atrak di utama Afrika Selatan dan diangkapsip ke Anggalan Taman najuna Afrika Selatan, dengan guru-sandpap.";0,52941176;5,82352941;1,00879121;15,86126304;16,87005424
sample_009.wav;Mereka memiliki kaki dengan sisik dan cakar, bertelur, dan berjalan dengan dua kaki belakang seperti T-Rex.; mereka mau laki-laki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir.;"ATURAN MUTLAK:
1. PERTAHANKAN JUMLAH KATA: Jangan menambah atau mengurangi kata kecuali benar-benar diperlukan.
2. PERTAHANKAN BUNYI: Jika teks mentah terdengar seperti 'kambing', jangan ubah menjadi 'karena' walaupun konteksnya aneh.
3. JANGAN PARAFRASE: Dilarang mengubah struktur kalimat.
4. KAPITALISASI: Perbaiki huruf besar untuk nama diri, tempat, dan awal kalimat.


CONTOH (Ikuti pola ini):
Input: Tim-tim virtual memiliki standar keunggulan
Output: Tim-tim virtual memiliki standar keunggulan.

Input: diisisi lain kondisi yang tingin dan persaal juter kolong normal
Output: Di sisi lain, kondisi yang dingin dan bersalju tergolong normal.

Input: diisisi lain keadaan tetap
Output: Di sisi lain keadaan tetap.
  mereka mau laki-laki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir.";0,62500000;6,25000000;0,73862576;16,32331300;17,06193876
