Model,Duration_s,Inference_Time_s,RTF,WER,Ref,Pred
openai/whisper-tiny,8.58,1.5973,0.1862,0.2857,timtim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan,tim tim virtual memiliki standard keunggulan yang sama dengan tim konfensional tetapi ada sedikit perbedaan
openai/whisper-tiny,7.68,1.2016,0.1565,0.6667,segera setelah permusuhan pecah britania memulai blokade laut jerman,segera setelah permusuhan pecah pita nih yang memulai blokad ilau cerman
openai/whisper-tiny,9.48,1.1677,0.1232,0.3529,semua nomina di samping kata sie untuk anda selalu dimulai dengan huruf kapital bahkan di tengah kalimat,semua nominah di sampen rata sih untuk anda selalu dimulai dengan hokkapital bahkan di tengah kalimat
openai/whisper-tiny,9.48,0.9172,0.0967,0.1667,ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu,ini sepertinya masuk akal karena kami tidak terasa seperti perkara bukan begitu
openai/whisper-tiny,12.3,1.7346,0.141,0.5,di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun,diisisi lain kondisi yang tingin dan persaal juter kolong normal dipanya negara dan lalu dintas terus berlangjut tanpa pengguan sepanjang tahun
openai/whisper-tiny,7.32,1.4981,0.2047,0.6923,kambing tampaknya mulai dijinakkan sekitar 10000 tahun lalu di pegunungan zagros di iran,kambentan banyak mulai diginakan sekitar seuluh riputau nalutip konongan saya across di iran
openai/whisper-tiny,5.22,0.8088,0.1549,0.2222,di kepulauan dan danau anda tidak perlu kapal pesiar,di kebuluhan dan danau anda tidak perlu kapal kesiara
openai/whisper-tiny,20.1,3.8057,0.1893,0.4074,pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang,tom beritahuan reguler di metro hanya menggunakan fahasah katalan tetapi gangguan tak terencana diunumkan mewak sistem otomatis dalam berbagai pahasah antara lain sepanol ingriis pransis arah dan cepan
openai/whisper-tiny,13.92,2.8721,0.2063,0.4706,ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan sanparks,ini adalah salah satu atrak di utama afrika selatan dan diangkapsip ke anggalan taman najuna afrika selatan dengan gurusandpap
openai/whisper-tiny,7.98,2.5953,0.3252,0.625,mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti trex,mereka mau lakilaki dengan sesi dan jakar untuk keluar dan perjalan dengan dua gaki pelakang seperti terakhir
openai/whisper-tiny,15.96,4.1787,0.2618,0.4138,dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dan 100 kanada yang baru,dia juga terlibat dalam pengokiran uang kertas untuk banyak negara sontok hari yang yang terbaru termasuk potret perdanaman 3 dibagian depan uang kertas lima dolar dan seratu stolar kanada yang baru
openai/whisper-tiny,15.78,5.0258,0.3185,0.5484,orangorang telah mengenal unsurunsur kimia dasar seperti emas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alatalat primitif,orangurang telah mengenal un surun seru kimiya dan sar seperti mas perak dan tembaga jadi zaman kunuh karena semua ini dapat ditemukan di alam dalam menukasliya dengan ralatek muda ditambang dengan halat alat primitif
